time,distance(meters),speed(m/s), compass_heading(degrees), pitch(degrees), roll(degrees),height_above_takeoff(meters),North,East,Down
0.0,114.004,4.02688,248.0,2.5,-3.3,7.0,0.0,0.0,0.0
0.0999999999999659,113.61,4.12,247.9,2.4,-3.1,7.0,0.14385244256880725,0.36659804267432605,-7.033117893406882e-06
0.19999999999998863,113.186,4.20966,247.9,2.2,-3.1,7.0,0.2991674516274756,0.7627435594312431,-1.4603983397698528e-05
0.30000000000001137,112.784,4.27526,247.9,2.2,-3.0,7.0,0.4431036250954108,1.138322639190747,-2.1732262489138066e-05
0.39999999999997726,112.338,4.36985,248.0,2.3,-2.8,7.0,0.6031226290695315,1.555973823349106,-2.9629028816202663e-05
0.5,111.906,4.45013,248.0,2.2,-2.7,7.0,0.7598332668405661,1.9587634609373197,-3.7232038088141906e-05
0.5999999999999659,111.446,4.52481,248.1,2.0,-2.7,7.0,0.9303297030139674,2.3865566027656087,-4.530318073214801e-05
0.6999999999999886,110.985,4.60065,248.1,1.8,-2.6,7.0,1.1081425237459896,2.813257725896648,-5.337148235184941e-05
0.8000000000000114,110.506,4.66494,248.0,2.0,-2.7,6.9,1.286993195700795,3.258166929706533,0.0999382943652849
0.8999999999999773,110.045,4.73789,248.0,2.1,-3.0,6.9,1.4575676892520733,3.6874492256515055,0.09993030129914615
1.0,109.554,4.81298,248.0,2.1,-3.1,6.9,1.6361893287173928,4.14508758118572,0.0999218380393998
1.099999999999966,109.072,4.8838,248.0,2.2,-3.2,6.9,1.8073559935814103,4.596532273165479,0.09991356005538599
1.1999999999999886,108.567,4.94105,248.0,1.8,-3.1,7.0,1.994006937238069,5.066762438906821,-9.50782149722329e-05
1.3000000000000114,108.082,4.97659,248.0,1.7,-3.1,7.0,2.1739954519892706,5.5186195916348595,-0.00010334589075267075
1.3999999999999773,107.567,5.03089,247.9,1.6,-3.2,7.0,2.365599715070637,5.9973665420793765,-0.00011206962486465244
1.5,107.078,5.09103,248.0,1.1,-3.1,7.0,2.5478536597379673,6.451415494407115,-0.00012031012716029466
1.599999999999966,106.594,5.15227,247.9,0.8,-2.9,7.0,2.735713429115876,6.898117734730846,-0.00012843477823043514
1.6999999999999886,106.095,5.20623,247.9,0.9,-3.0,7.0,2.9227524116617545,7.361812157638823,-0.0001367798793330266
1.8000000000000114,105.55,5.24744,248.1,0.8,-2.9,7.0,3.1266457589409953,7.868395834563273,-0.00014584940290962578
1.8999999999999773,105.028,5.2858,248.2,0.4,-2.8,7.0,3.3235813076034404,8.351595088818314,-0.0001544703427365235
2.0,104.443,5.31431,248.3,0.8,-2.9,7.0,3.551186039138976,8.892293195143623,-0.0001641133424064023
2.099999999999966,103.919,5.35768,248.2,1.1,-3.0,7.0,3.7557067187068114,9.375408469911747,-0.0001726913662665197
2.1999999999999886,103.366,5.3888,248.2,1.7,-3.6,7.0,3.97455935287919,9.883939634511975,-0.0001816968830228305
2.3000000000000114,102.836,5.40097,248.1,2.0,-4.3,7.0,4.182972274640711,10.371362147895567,-0.00019027424546802507
2.3999999999999773,102.274,5.46695,248.0,2.3,-5.0,7.0,4.4004725439708,10.890859902329808,-0.00019933852485731762
2.5,101.735,5.5456,247.9,2.8,-5.2,7.0,4.608668694166518,11.388500603554874,-0.0002079759587614305
2.599999999999966,101.16,5.6534,247.9,3.8,-5.1,7.0,4.831179398985746,11.91933922861078,-0.00021713939931267134
2.6999999999999886,100.607,5.73884,247.9,4.4,-4.4,7.0,5.042929616086774,12.431574124273013,-0.0002259160432327434
2.8000000000000114,100.021,5.79182,247.9,3.6,-4.4,7.0,5.260317071968423,12.976204978260668,-0.00023514529541390772
2.8999999999999773,99.4561,5.86412,248.0,3.6,-4.4,7.0,5.474526235780942,13.499902904941493,-0.0002440023110121814
3.0,98.856,5.94009,248.1,3.6,-4.2,7.0,5.704410972395102,14.055179727161331,-0.0002533552200310041
3.099999999999966,98.2673,6.01765,248.2,4.0,-4.0,7.0,5.927441801906859,14.600818638254694,-0.0002624728466447124
3.1999999999999886,97.63,6.07343,248.2,3.9,-3.9,7.0,6.165717511729866,15.19289029411523,-0.0002722827784049642
3.3000000000000114,97.0003,6.1035,248.4,3.9,-3.7,7.0,6.403822854371079,15.77673692171328,-0.00028191269688804255
3.3999999999999773,96.3783,6.21033,248.3,4.4,-3.4,7.0,6.640052974117303,16.35306112148058,-0.0002913633470171817
3.5,95.7756,6.30306,248.1,4.4,-3.0,7.0,6.8678457920399225,16.911980613561184,-0.00030046328256982946
3.599999999999966,95.1272,6.37504,248.0,4.8,-3.1,7.0,7.111111811593659,17.51403368904772,-0.00031018989303355227
3.6999999999999886,94.5295,6.46162,248.0,4.7,-3.6,7.0,7.336376378001098,18.068462589003516,-0.0003190962020722665
3.8000000000000114,93.8835,6.53357,248.1,4.0,-3.4,7.0,7.584020181393498,18.666055664845302,-0.0003286603039258651
3.8999999999999773,93.2507,6.60194,248.1,3.8,-3.9,7.0,7.827306683995246,19.251177545237397,-0.00033796657324991486
4.0,92.561,6.66715,248.1,3.6,-4.3,7.0,8.09252157909171,19.888795937319927,-0.00034803506646508
4.099999999999966,91.8756,6.72548,248.1,3.4,-4.4,7.0,8.362065114492573,20.51997638981929,-0.0003579689748827164
4.199999999999989,91.1763,6.7667,248.1,3.2,-4.8,7.0,8.633226722670642,21.165514269372068,-0.00036802658441636993
4.300000000000011,90.507,6.77297,248.0,3.2,-4.7,7.0,8.891584992374135,21.783833947585308,-0.00037758007848154307
4.399999999999977,89.8002,6.85355,248.0,3.2,-4.6,7.0,9.1627437207894,22.437612024609308,-0.00038759367730989425
4.5,89.1483,6.92114,248.0,3.2,-4.4,7.0,9.413147263926305,23.040390393691908,-0.00039676010237332804
4.599999999999966,88.453,6.9793,248.0,3.3,-4.2,7.0,9.679197433778114,23.683797390824935,-0.00040646414254918994
4.699999999999989,87.7773,7.02462,248.1,3.0,-4.4,7.0,9.93811927587074,24.30886036517751,-0.00041582071773849094
4.800000000000011,87.0476,7.04632,248.2,2.6,-4.6,7.1,10.218041475418836,24.983799080813327,-0.10042584354613027
4.899999999999977,86.3428,7.09046,248.2,2.9,-4.6,7.1,10.488674538215065,25.635492102999265,-0.10043544514707303
5.0,85.5381,7.11371,248.2,3.0,-4.5,7.0,10.804474036344637,26.37685202803354,-0.0004463142203245951
5.099999999999966,84.8365,7.15684,248.1,2.9,-4.2,7.0,11.07286202844378,27.02602475145197,-0.00045570601932354293
5.199999999999989,84.1142,7.18736,248.1,2.9,-4.2,7.0,11.347557799922356,27.695107000302556,-0.0004652943738241433
5.300000000000011,83.4313,7.16518,248.1,2.5,-4.0,7.1,11.607958767637939,28.327477117631574,-0.10047428499052558
5.399999999999977,82.7897,7.20984,248.1,2.4,-4.0,7.1,11.857397648023799,28.91947182753772,-0.10048266492676738
5.5,82.0953,7.25299,248.1,2.8,-4.1,7.1,12.121731818116988,29.562634121839295,-0.10049166216955108
5.599999999999966,81.3373,7.30691,248.1,3.2,-4.2,7.1,12.407740099952374,30.265662530156106,-0.10050139441393036
5.699999999999989,80.6135,7.35533,248.0,3.4,-4.0,7.1,12.679633201405029,30.937638984195942,-0.10051060662909617
5.800000000000011,79.8028,7.38581,248.0,3.0,-3.6,7.1,12.978239647896935,31.69267496799185,-0.10052082482129965
5.899999999999977,79.0777,7.41235,248.1,2.3,-3.6,7.1,13.251141290461774,32.36555252242378,-0.1005298776823933
6.0,78.3162,7.42752,248.2,2.2,-3.4,7.1,13.54018089376331,33.071238436106086,-0.10053929530278527
6.099999999999966,77.5911,7.44744,248.3,2.1,-3.5,7.1,13.813420714587544,33.743970807755545,-0.10054817705729846
6.199999999999989,76.8213,7.45393,248.2,2.3,-3.7,7.1,14.097883285226064,34.4605621649368,-0.10055751727726303
6.300000000000011,76.094,7.42536,248.2,2.5,-3.6,7.1,14.369583056130832,35.136356867043446,-0.10056625677936815
6.399999999999977,75.3273,7.48116,248.1,2.5,-3.7,7.0,14.656901092452443,35.84841290451932,-0.0005753790487457167
6.5,74.5954,7.51436,248.1,2.7,-3.8,7.0,14.932522045943127,36.5275448922321,-0.0005840016703491102
6.599999999999966,73.8228,7.54068,248.0,2.8,-3.6,7.1,15.225702150257327,37.24347065065503,-0.10059300998590093
