,time,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
0,0.0,-0.804954454,-2.270674884,-146.36387635,-0.21927887199999996,-0.650427077,13.98242998,5.894814491,49.48347092,2.187473923
1,0.0041665,-0.750639841,-1.875739932,-146.35334775,-2.0179030300000003,-1.4327142830000001,16.164809705,6.886489868,46.55676651,1.441616863
2,0.008333,-0.705235258,-1.44512894,-146.3333054,1.2036518455,0.09970137500000004,14.14036703,5.775568962,50.849351885000004,2.7013923525
3,0.0124995,-0.707848571,-1.0265211315,-146.34072880000002,-2.3844222425000003,-1.3688928485,15.656827925,-0.0009733549999999987,49.4247551,-0.7246152164999999
4,0.016666,-0.7275952995,-0.5838364065000001,-146.327446,0.07251274600000002,-1.1961963180000001,12.84369755,-2.0848053694999997,52.304838180000004,1.9006768165
5,0.0208325,-0.7946098450000001,-0.18788212550000005,-146.3435745,-0.6029329299999999,-1.3904269935,13.364443775,-7.737736225499999,46.726713180000004,-1.7709910725
6,0.024999,-0.9112730920000001,0.19698911900000005,-146.34358980000002,1.2378253940000001,-2.2428323624999997,14.34792614,-13.727597715,45.382598875,0.33115418249999995
7,0.0291655,-1.04193148,0.547707826,-146.3625412,-1.5841063265,-2.8396768565,15.30340433,-15.373370170000001,41.319021225,-2.016804278
8,0.033332,-1.176461041,0.8517639935000001,-146.36484525,0.2324741925,-0.3942381145,17.8773942,-15.84199619,35.680160525,0.08488576099999998
9,0.0374985,-1.3455355464999998,1.1369391229999999,-146.38558195000002,-1.303317845,-1.414373398,16.868684289999997,-19.970056534999998,33.472731589999995,-2.1813944579999998
10,0.041665,-1.540505409,1.4170826155,-146.39499665,-0.7406361105,-1.1649706065,15.641212939999999,-23.051691055,32.823329924999996,-0.6453706324999999
11,0.0458315,-1.7576409575,1.6682131735,-146.4132004,-0.974024266,-0.4580323694999999,15.65609217,-25.752484324999998,29.402071,-1.7687742109999998
12,0.049998,-1.979973614,1.9165720045,-146.4112701,0.17194245749999998,-0.066132743,14.589820385,-26.366808895,28.966861725,0.839661449
13,0.0541645,-2.1878281235,2.132093787,-146.4097214,-0.6970775945000001,-1.5442861915,13.96437979,-24.703053474999997,25.05605602,0.671875119
14,0.058331,-2.3827854395,2.3060828445,-146.39678955,0.07757602599999999,-0.5967679619999999,15.32945967,-23.113247870000002,19.98113823,2.0214006305
15,0.0624975,-2.58621192,2.474548578,-146.385376,-0.22283170400000002,-1.0350501534999998,15.63264084,-24.23630047,19.357848169999997,1.8059011099999998
16,0.066664,-2.7913476225,2.6133729815,-146.36872865,0.472336918,-0.18405728400000002,15.761734485,-24.36049366,15.725903514999999,2.422148302
17,0.0708305,-2.99866879,2.71710664,-146.3597717,0.010905304999999999,0.3884583935,15.447833540000001,-24.679160115,11.5950283985,1.2743088605
18,0.074997,-3.2132897375000002,2.8114135265,-146.3550415,0.26893772650000003,-0.701584056,14.3502717,-25.44399929,10.449147224499999,0.8265850545
19,0.0791635,-3.4210009575,2.889988899,-146.34287260000002,0.09674906700000008,-1.4421146509999998,13.660387035,-24.753668785000002,8.5491974355,1.5503793360000002
20,0.08333,-3.594320655,2.9299300314999996,-146.323761,-1.181994021,-0.5952632575,16.259889125,-20.577721595,3.8241876360000004,2.2274405135
21,0.0874965,-3.742251396,2.9439011214999997,-146.29751585000002,0.5084336995,-0.4366530625,17.92627144,-17.656069755,0.6891127825,2.807890803
22,0.091663,-3.8739145995,2.9263976215,-146.28174595000002,-1.0742571650000001,-0.6216527595,17.828603745000002,-15.555483815,-3.0424529314999997,1.3997032644999998
23,0.0958295,-3.997234702,2.877666414,-146.2562561,-0.0904288215,0.7565800995,15.78119469,-14.70019722,-6.8246901035,2.2004937085000003
24,0.099996,-4.1306684019999995,2.816224098,-146.24260715,-1.2915386555000001,-0.6132496300000001,14.330309395,-15.750581745,-8.294736147,0.7679984570000001
25,0.1041625,-4.256401062,2.7120490075,-146.2145691,0.129736662,1.0037419275000001,16.05461645,-14.987208365,-13.497214795,2.011531435
26,0.108329,-4.363306999000001,2.612733662,-146.21339415,-2.8093290325,-0.6422208845,14.321496960000001,-12.501100065,-12.717066764999998,-1.100118816
27,0.1124955,-4.443262339,2.4888695475000002,-146.20008085,0.07496544749999995,-0.6776403935,14.78125238,-9.386499405,-15.73037863,-5.137950000000391e-05
28,0.116662,-4.480733633,2.366486788,-146.2045364,-2.268758535,-0.7773126405,14.525139330000002,-4.164760113,-15.412010195,-2.008425355
29,0.1208285,-4.488243818,2.257687211,-146.1949005,-0.3710823805,0.3522738215,16.238595005,-0.6454278229999999,-13.90519667,-0.30221601200000003
30,0.124995,-4.4804661275,2.1310266255,-146.2039795,-2.5344896915,-1.2351605294999999,17.542182925,1.2535864714999998,-15.868449209999998,-2.6039627789999997
31,0.1291615,-4.4760844705,2.0171953435,-146.19351195000002,0.572291225,0.6896362899999999,15.441039085,0.795693636,-14.520334245,-0.26089379200000007
32,0.133328,-4.490455389,1.878047079,-146.2038269,-1.8680604695,-0.25380605450000004,13.71986389,-1.40788681,-17.34992504,-2.855212748
33,0.1374945,-4.494321585,1.7407273945,-146.19979095000002,-0.600818485,-1.1999002695,14.955335615,-0.15061807649999992,-17.277163504999997,-1.237648085
34,0.141661,-4.4764060975,1.6009363829999999,-146.21717834999998,-1.3752649424999999,-0.5700106620000001,15.75658131,2.4682585594999997,-17.352296825,-3.7116894125
