,time,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
0,0.0,-3.1992530820000002,21.295884129999997,-137.25,-2.141619086,0.519185327,19.073638915,-16.40986681,88.200805665,-3.2895173430000004
1,0.008333,-3.3249659535,21.76662922,-137.267971,1.1910045745,-1.8929998874999998,-8.3071181785,-15.545561315,56.31408882,0.6777193545000002
2,0.016666,-3.4291152955,22.360514639999998,-137.31233220000001,-3.320070952,1.3100306985,18.94708729,-11.555913451,71.178707125,-1.152510881
3,0.024999,-3.5453391075000003,22.828838349999998,-137.34158325,2.8708491025000002,-1.3653557895000001,-1.6926829815000002,-13.88244009,56.099824905000006,-0.3738572594999998
4,0.033332,-3.720488906,23.271643635,-137.35190585,-2.5473685415,-0.268978916,15.380790712,-21.569821355000002,52.85047912500001,1.8119699954999997
5,0.041665,-3.8394722935,23.71465492,-137.40149309999998,2.1164255145,-0.18819364900000002,-3.37799883,-13.17448616,53.211393355,-2.4839174744999997
6,0.049998,-3.9017943145,24.012238505,-137.3948402,-3.0498946905,0.547677815,16.00193882,-8.8727049815,35.33608341,2.7035862205
7,0.058331,-4.000903964,24.345744135,-137.4462509,3.2110131975,-0.753219366,0.5613344309999999,-10.590665817,40.108890535,-3.3914336565000003
8,0.066664,-4.108092308,24.51851082,-137.4264603,-2.943684578,0.6187976525,12.882023334500001,-14.940894125,20.300043584500003,3.1461806295
9,0.074997,-4.1971838475,24.790801045,-137.47962569999999,1.831148446,-0.5881595875,4.508034944,-9.24712062,32.797995565,-3.9084278345
10,0.08333,-4.235932112,24.778565405000002,-137.441082,-1.823329208,-0.08280471350000002,11.1450769905,-7.685526371,-1.9945237635000002,3.5884005274999997
11,0.091663,-4.3007712365,25.017857550000002,-137.4923401,1.0190690755,0.39542715250000005,5.443206162,-6.3912162785,28.836198805,-3.906108856
12,0.099996,-4.3219761850000005,24.85333729,-137.44245915,-0.06742960249999996,-0.5127566495,3.1049797550000005,-6.1977705345,-20.30352211,3.403972864
13,0.108329,-4.3686218265,25.008227345,-137.48588940000002,-2.8322117925,0.19618158800000002,18.110940454999998,-4.5805056095,18.670657159999998,-3.755086303
14,0.116662,-4.3732795714999995,24.838731765,-137.44021605,1.8771115539999998,-0.35784104450000004,-3.4749352929999997,-3.9882408380000003,-20.86363649,2.8640825149999998
15,0.124995,-4.380227089,24.787628175000002,-137.46537015,-2.988499403,0.8706787675000001,16.848989965,-0.7575730685,-6.12924969,-3.6299601795
16,0.133328,-4.3482773305,24.702715875000003,-137.42857744999998,-0.4520505365,-0.628046498,5.6827116625,0.8478378655000001,-10.659522607,2.659622669
17,0.141661,-4.342928648,24.505931855,-137.44561765,0.08476471899999999,-0.22342713150000001,7.332768917999999,0.3523174825,-23.635239605000002,-4.058257699
18,0.149994,-4.3019351955000005,24.363734245,-137.40935135,-2.6062871815,0.6008595155,7.681213140500001,1.9323835595,-17.49969053,2.095180925
19,0.158327,-4.2722160815,24.213407519999997,-137.4183083,-0.8077324035,0.14802846300000005,11.792905332,2.881845951,-18.146500585,-2.7508929970000002
20,0.16666,-4.188361883,24.056179045,-137.37768935,-2.843200445,-0.9434801195000001,6.867135525,6.908751131999999,-19.33162117,2.4876170754999998
21,0.174993,-4.1312868595,23.828465459999997,-137.37546155,1.0112510024999999,0.562856637,4.2991823855,5.5993332865,-27.499687195,-2.1709680555
22,0.183326,-4.0681915285,23.69189453,-137.3331451,-4.5886797905000005,-0.901985496,12.346472265500001,4.3368052245,-16.85874939,2.8870644275000004
23,0.191659,-3.991847515,23.54391003,-137.33250805,-0.8571282925,0.78614825,10.27726412,8.0425131325,-17.95496941,-1.5818653109999998
24,0.199992,-3.9027582405,23.371921540000002,-137.30722425,-1.8836797255000002,-0.93143183,7.412747381499999,8.248286724,-20.9507246,0.7518998385
25,0.208325,-3.8338940145000002,23.215554235,-137.2899437,-1.802959234,-0.174073696,5.7517380715,6.354830265,-19.086416245000002,0.22411847100000015
26,0.216658,-3.757965207,23.085119245,-137.2857704,-2.2711617945,-0.21943970000000002,9.4996867195,7.713599682,-15.82340097,-1.1581540104999999
27,0.224991,-3.6727268695,22.992708205,-137.27892685,-3.2654578684999995,0.283787437,12.808083535000002,8.773991345999999,-11.343125345,-0.3936460614999999
28,0.233324,-3.600590348,22.910393715,-137.2725334,-1.4003917575,-1.0244185925,7.32568264,7.1890459065000005,-10.079100133,-0.48738120500000004
29,0.241657,-3.518901706,22.814034460000002,-137.27048495,-2.3566904665,-0.047819555000000014,3.7684098485,8.5829350965,-11.78646946,-0.915075004
30,0.24999,-3.427249432,22.7272892,-137.2626114,-1.523115188,-0.557497844,8.253687858500001,9.425554753,-10.611557484999999,-0.35549402250000006
31,0.258323,-3.3661805395,22.69190216,-137.2593422,-2.9717192949999998,0.023868523499999995,14.418777945,6.0862375495,-4.4944663044999995,-0.30330455349999985
32,0.266656,-3.3025754689999998,22.684082985,-137.26977920000002,-1.816550076,-0.6454742065000001,9.8752536795,6.9145373105,-1.036960401,-1.7929130494999999
33,0.274989,-3.2214058635000002,22.632761955,-137.2591896,-1.8439031245,-0.23161344250000002,4.658831477,8.123760223,-6.446514368000001,0.40163731550000015
34,0.283322,-3.1467638014999997,22.569233895,-137.26212694999998,-0.8071433305,-0.846551716,7.7230923175,7.924584152,-7.7630100265,-1.3403546215000002
35,0.291655,-3.0870599745,22.56709194,-137.25427625,-3.572469234,-0.3749042975,11.5213806635,5.6596707104999995,-0.5309830904999999,0.42284631699999997
