time,distance(meters),speed(m/s), compass_heading(degrees), pitch(degrees), roll(degrees),height_above_takeoff(meters),North,East,Down
7.800000000000011,94.6183,3.46135,250.9,-8.2,-25.7,10.5,6.390616427331306,14.27743169650596,1.9176943243159883e-05
7.899999999999977,94.3243,3.18385,250.8,-7.1,-26.5,10.5,6.6708803163382,14.481780698408476,1.9925069991266753e-05
8.0,94.054,3.02509,251.1,-7.3,-26.6,10.5,6.965837532907049,14.655161844240917,2.0638188381827405e-05
8.100000000000023,93.7639,2.93693,251.3,-7.5,-27.7,10.5,7.166332455486108,14.887905109754914,2.139995681860185e-05
8.199999999999989,93.4888,2.84798,251.5,-7.6,-28.7,10.5,7.318557384379567,15.123794864251504,2.2127814712114002e-05
8.300000000000011,93.1998,2.77853,251.6,-7.9,-29.1,10.5,7.43637645109934,15.388407214871457,2.2897350899331315e-05
8.399999999999977,92.9269,2.81874,251.7,-8.0,-29.1,10.5,7.507014899670224,15.65442482897228,2.3626674730437003e-05
8.5,92.6317,2.941,251.5,-7.3,-29.5,10.5,7.558079567868742,15.952265620295897,2.4424150893764818e-05
8.600000000000023,92.3631,3.1357,250.9,-5.3,-29.1,10.5,7.543612053691629,16.247639784838697,2.5151255494293423e-05
8.699999999999989,92.0791,3.33271,250.1,-3.0,-22.7,10.5,7.492346130115825,16.574699701493188,2.5931363518250095e-05
8.800000000000011,91.799,3.46545,249.6,-1.1,-12.5,10.5,7.42886607907419,16.902676069374913,2.6717064999015605e-05
8.899999999999977,91.4844,3.48118,249.3,-0.2,1.1,10.6,7.352374572858457,17.273793848630305,-0.0999723795924452
9.0,91.1853,3.44132,249.6,0.4,14.8,10.6,7.319766557672525,17.610560301037516,-0.09997149824577489
9.100000000000023,90.8634,3.37993,249.9,1.0,21.9,10.6,7.327138422590457,17.95590297948161,-0.0999705268091664
9.199999999999989,90.5444,3.38637,249.6,0.5,23.2,10.6,7.374807992365451,18.281779010726993,-0.0999695464550383
9.300000000000011,90.1931,3.42402,249.7,0.9,22.8,10.6,7.452482729687709,18.630237425342088,-0.09996844833583873
9.399999999999977,89.8524,3.56638,249.8,1.3,21.7,10.6,7.581597264700022,18.94597906152275,-0.09996736702386766
9.5,89.4866,3.70032,249.3,0.3,21.0,10.6,7.759080054790768,19.268983331182604,-0.09996618602653662
9.600000000000023,89.1294,3.89706,248.9,-1.2,21.5,10.6,7.972072526154006,19.56810678713149,-0.09996501202168684
9.699999999999989,88.7448,4.10302,248.9,-1.6,21.3,10.6,8.219765695035079,19.88269497752843,-0.099963725036043
9.800000000000011,88.38,4.33875,248.8,-1.9,20.9,10.6,8.516303805769708,20.15619628705715,-0.09996247633318056
9.899999999999977,88.0021,4.54725,248.7,-2.0,20.5,10.6,8.868925254566564,20.421510662383568,-0.09996115209268552
10.0,87.6264,4.77513,248.6,-2.4,19.2,10.6,9.24237459418529,20.676667843823623,-0.09995979746482853
10.100000000000023,87.2155,4.86048,248.6,-5.7,10.4,10.6,9.66274455824379,20.951978798677786,-0.09995827476524966
10.199999999999989,86.8486,4.77812,249.2,-10.4,-3.0,10.6,10.066528394884113,21.187455459090884,-0.09995687125235886
10.300000000000011,86.4761,4.53981,250.6,-11.6,-13.3,10.6,10.469168003821586,21.430462140582932,-0.09995540877389164
10.399999999999977,86.132,4.24607,251.4,-10.6,-22.6,10.6,10.824678967278935,21.66219677154794,-0.09995403085046828
10.5,85.7778,3.90222,251.3,-8.8,-26.5,10.6,11.16075484393696,21.913023781852726,-0.09995259414320845
10.600000000000023,85.4656,3.64847,251.2,-8.0,-26.8,10.6,11.445020964153585,22.139114840363703,-0.09995130815727382
10.699999999999989,85.1158,3.52511,251.2,-7.7,-27.2,10.5,11.697397924754398,22.417992152513385,5.012427195794089e-05
10.800000000000011,84.7813,3.38005,251.3,-7.6,-28.1,10.5,11.902698452899767,22.698511851961662,5.1497494768959484e-05
10.899999999999977,84.4286,3.26483,251.4,-7.6,-28.6,10.5,12.079560087034938,23.009334980072204,5.2944713393898724e-05
11.0,84.0751,3.23941,251.4,-7.5,-28.8,10.5,12.26065780680446,23.319409674252004,5.441648317283665e-05
11.100000000000023,83.7565,3.26939,251.6,-7.5,-28.8,10.6,12.331686862225416,23.63353256790971,-0.09994429258879123
11.199999999999989,83.4485,3.39155,251.3,-6.2,-29.5,10.6,12.364434938612217,23.950786335795335,-0.0999430460319557
11.300000000000011,83.114,3.59808,250.6,-3.9,-30.1,10.6,12.364106400156956,24.30908873721395,-0.09994169336220349
11.399999999999977,82.7951,3.86869,249.9,-1.7,-28.4,10.6,12.31787732047482,24.668315330759768,-0.0999404044781178
11.5,82.4435,4.12981,249.5,-0.2,-21.6,10.6,12.244746627632196,25.07339418359227,-0.09993896831983484
11.600000000000023,82.0948,4.26233,249.3,1.2,-9.5,10.6,12.164617445488334,25.478579993489355,-0.09993751737812495
11.699999999999989,81.713,4.26959,249.5,2.2,5.2,10.6,12.090565104515168,25.917734895378928,-0.09993589085263022
11.800000000000011,81.3417,4.22946,250.0,3.6,16.8,10.6,12.054631714132665,26.33116849922077,-0.09993426837243469
11.899999999999977,80.9438,4.13211,250.0,3.1,21.1,10.7,12.046559643861325,26.762740177031937,-0.1999324887615801
12.0,80.5505,4.15563,249.8,2.5,21.8,10.7,12.093411966266416,27.16778818971438,-0.19993068870403974
12.100000000000023,80.1177,4.23199,250.4,3.9,21.8,10.7,12.1843329707043,27.598037986809484,-0.1999286698607552
12.199999999999989,79.6947,4.37422,250.4,4.3,21.4,10.7,12.31264474375153,28.00287957006005,-0.19992665869817294
12.300000000000011,79.2177,4.51893,250.2,4.1,20.3,10.7,12.459926592368383,28.458422742328345,-0.19992435825203092
12.399999999999977,78.7734,4.71879,250.0,3.4,19.8,10.7,12.669004288872774,28.854015724473648,-0.19992216907273974
12.5,78.2993,4.9207,249.4,1.5,19.6,10.6,12.930489675392488,29.26090311102626,-0.09991978981226879
12.600000000000023,77.8372,5.11813,248.8,0.1,18.5,10.6,13.220766701972888,29.643558835625804,-0.0999174291148277
12.699999999999989,77.3529,5.2427,248.9,0.3,17.8,10.6,13.564601647603713,30.029406614694736,-0.09991490007942971
12.800000000000011,76.8841,5.40456,249.2,1.0,13.9,10.6,13.923363967932707,30.393198835733166,-0.09991240328522455
12.899999999999977,76.4147,5.43725,249.1,-2.5,1.8,10.6,14.308403873278166,30.748132090802454,-0.09990984864131924
13.0,75.9509,5.34033,249.9,-8.2,-10.1,10.6,14.683156973464556,31.10166015703087,-0.09990728034378193
13.100000000000023,75.4382,5.0822,251.1,-10.2,-21.0,10.6,15.09804900304654,31.493113113666173,-0.09990438930611845
13.199999999999989,74.9641,4.85478,251.3,-9.3,-26.0,10.6,15.426878556740183,31.876501714272756,-0.09990169673771998
13.300000000000011,74.4879,4.63547,251.4,-8.8,-26.6,10.6,15.720363148140127,32.27576758849091,-0.09989897201404041
13.399999999999977,74.0427,4.48383,251.6,-9.0,-27.2,10.5,15.959804151481414,32.66228706402954,0.00010359122115133346
13.5,73.5826,4.41793,251.7,-8.9,-27.7,10.5,16.170141911861144,33.07560513461857,0.00010625046626611123
13.600000000000023,73.1368,4.36401,251.6,-8.8,-28.4,10.5,16.366368520587258,33.479010493472806,0.0001088563003079912
13.699999999999989,72.6954,4.28568,251.6,-8.9,-28.8,10.5,16.488949172058202,33.90499852032605,0.00011142056812829537
13.800000000000011,72.2844,4.29225,251.6,-8.8,-28.8,10.5,16.5633898320536,34.316415412366084,0.00011381240145880156
