time,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
0,22.1794858,-1.336295817,-56.1652107,-3.385655344,0.975767672,12.90790987,-4.780343891,12.40729868,-5.31691128
0.008333,22.16445064,-1.203784414,-56.08345605,-0.780191883,-0.995723926,10.04198193,-1.980748952,17.85047913,2.623083949
0.016666,22.1737051,-1.054970741,-56.05456735,-2.157499373,1.062498789,7.344506383,0.877377421,17.27329004,-3.902394295
0.024999,22.1721673,-0.918032512,-55.98238563,-1.06441249,-0.254876375,11.46233582,-0.45164305,17.91311407,1.357202649
0.033332,22.18059063,-0.749827191,-55.92635348,-2.542114116,-0.169639059,11.99430299,0.836984098,20.64390326,-1.735284865
0.041665,22.21378184,-0.577747941,-55.85568998,-0.941644713,0.298503272,9.697481275,3.886270285,21.6995182,-0.387921265
0.049998,22.25538015,-0.421539575,-55.7900219,-2.046757788,0.127782386,12.39272332,4.585740984,19.78354859,-0.171779491
0.058331,22.2822218,-0.234993696,-55.72466468,-0.674341887,-0.108521603,10.61962783,2.943182491,23.10746193,-1.664894045
0.066664,22.30901861,-0.039760524,-55.63604545,-2.687196016,0.234493815,9.066946506,2.963581126,25.11279726,0.60481292
0.074997,22.34862041,0.116842341,-55.58774565,0.064944208,-0.550457053,11.32372785,4.415251613,18.9956162,-2.200276464
0.08333,22.37526131,0.309878335,-55.50209618,-3.27312845,-0.363717457,10.86036992,2.920024693,24.73090172,0.371153712
0.091663,22.40832329,0.48540628,-55.44905283,-0.086259846,-0.451297306,11.47353732,3.622712657,21.30640078,-2.55343318
0.099996,22.43677998,0.632141754,-55.38771058,-1.827940941,-0.167399191,10.71736002,3.075002492,18.4839902,-0.242096454
0.108329,22.42695809,0.839137122,-55.3281269,-1.423288018,-0.447793499,9.711838604,-1.351977821,25.03250456,-3.269831896
0.116662,22.42698956,0.988089383,-55.27049448,-1.976779521,-0.394801453,11.80622482,-0.565053493,18.6175437,-0.762468383
0.124995,22.41669131,1.15246442,-55.2311039,-0.248355076,-0.590983823,11.5916996,-1.587980509,19.43373609,-3.572835148
0.133328,22.41340876,1.301337726,-55.168602,-2.644196335,-0.654655844,12.01318455,-0.821532011,18.78103876,-0.181342363
