SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,
504664917,-5.282051086,7.786246777,-176.3729858,-2.601057768,-0.962211728,6.691981316,1.047327518,1.453390241,3.591717243,0.039306641,-0.533935547,-0.553710938, 
504673250,-5.237789154,7.768553734,-176.411026,0.473732948,-0.619719625,13.10547638,4.135020733,-2.061151743,-4.896852493,0.037353516,-0.530517578,-0.543212891, 
504681583,-5.190412998,7.786483288,-176.3914948,-1.867531061,-0.174524233,13.29833698,3.577450752,1.594550252,2.313823462,0.043212891,-0.531982422,-0.551513672, 
504689916,-5.186921597,7.825551987,-176.4290466,0.127606079,-0.515846729,10.47383785,-0.764456809,4.712365627,-4.21997118,0.038330078,-0.532958984,-0.549560547, 
504698249,-5.146680355,7.884704113,-176.4325104,-4.429232121,-0.289817423,5.922693253,3.096415043,6.770418167,0.034361497,0.042724609,-0.534423828,-0.550537109, 
504706582,-5.106525898,7.884194374,-176.4570007,0.711554408,-1.613806605,14.264328,3.426531792,-0.16234304,-3.100910902,0.040283203,-0.535888672,-0.541259766, 
504714915,-5.058506012,7.880441189,-176.4640656,-1.511134267,0.176945195,10.71218586,4.088736534,-0.711204886,-1.069727421,0.043212891,-0.533935547,-0.550048828, 
504723248,-5.023151875,7.864678383,-176.4919128,-0.172904044,0.120887287,13.86652088,2.904999971,-1.951318026,-3.662451267,0.043212891,-0.535400391,-0.552001953, 
504731581,-4.9968009,7.948992252,-176.5121002,-3.81953454,-0.331229419,6.271580219,1.705485821,9.952347755,-1.702347994,0.037841797,-0.535888672,-0.542724609, 
504739914,-4.974211693,7.911664486,-176.5361786,0.615363538,-1.503739476,11.59747505,1.316712618,-4.57296133,-3.437661171,0.043212891,-0.536865234,-0.552001953, 
504748247,-4.927185535,7.918188095,-176.5463562,-1.904061675,-1.41384995,7.211802006,4.021115303,0.547542691,-1.331709743,0.040771484,-0.537841797,-0.544189453, 
504756580,-4.880337238,7.844145298,-176.5578156,1.779688001,0.300705165,14.04242229,4.016222954,-9.094079018,-2.312402248,0.041748047,-0.536865234,-0.544677734, 
504764913,-4.852607727,7.869862556,-176.5756989,-4.548614502,0.181814879,13.40482616,1.830969453,2.91949749,-2.05313468,0.043212891,-0.541259766,-0.550537109, 
504773246,-4.871743679,7.805851936,-176.5596619,0.826499462,-1.90696907,10.47610092,-4.352960587,-8.171916008,1.056062341,0.039794922,-0.538330078,-0.541748047, 
504781579,-4.886972427,7.719004154,-176.5838776,-0.882161975,-1.188579917,5.770307541,-3.224908829,-10.47706699,-3.95045805,0.038818359,-0.542236328,-0.555664063, 
504789912,-4.859688759,7.616076946,-176.5722046,-1.938064814,-0.743381858,9.922873497,1.292917252,-12.78014851,0.136306182,0.035400391,-0.537353516,-0.542236328, 
504798245,-4.850492001,7.547310352,-176.595993,-0.424471766,-0.737041056,17.84506798,-0.310034722,-8.320375443,-3.711041689,0.037353516,-0.544189453,-0.548583984, 
504806578,-4.893168449,7.455005646,-176.5913544,-3.034623146,-0.270152152,13.26692677,-6.98917675,-11.43785763,-0.588461459,0.035888672,-0.536376953,-0.544677734, 
504814911,-4.955142021,7.382445812,-176.6018829,0.408690035,-1.881454349,7.746033669,-9.064750671,-8.905173302,-2.188608408,0.034423828,-0.539794922,-0.544189453, 
504823244,-4.988721848,7.233592033,-176.598877,-1.475072622,-1.255369067,8.517226219,-5.870297909,-18.18101692,-1.388010263,0.032958984,-0.539550781,-0.547851563, 
504831577,-5.043075562,7.161249638,-176.609726,-2.776299238,-1.271166682,16.26358604,-8.149502754,-8.871464729,-2.240323305,0.031494141,-0.536132813,-0.543945313, 
504839910,-5.111263275,7.077253819,-176.597229,-0.987878382,0.451776356,12.4654007,-10.163908,-10.52471066,0.392141163,0.034423828,-0.537841797,-0.542236328, 
504848243,-5.214671135,7.035787582,-176.6239471,-2.277094841,-0.05942269,11.87436104,-13.80638218,-5.007967949,-3.807275057,0.031005859,-0.532714844,-0.544921875, 
504856576,-5.307479382,6.990762711,-176.6143951,-1.923393607,-2.266261101,4.42722702,-13.07209682,-5.835999012,0.439553112,0.028564453,-0.532226563,-0.544433594, 
504864909,-5.389696121,6.901171684,-176.6346741,0.371385634,-0.414128274,13.48207855,-11.36298847,-10.81676579,-3.602796316,0.034423828,-0.533691406,-0.549316406, 
504873242,-5.445530891,6.895545483,-176.6361847,-3.194188595,-0.17159313,8.192682266,-8.4742136,-1.007074833,-0.439309716,0.030517578,-0.528808594,-0.544921875, 
504881575,-5.503907204,6.871774197,-176.6633301,-0.660816729,0.220955938,14.35488319,-8.405415535,-2.868333578,-3.687400103,0.031494141,-0.534667969,-0.551269531, 
504889908,-5.55254364,6.945401669,-176.6821899,-4.172726154,0.072298959,10.03213501,-7.359431744,8.6584692,-1.581525326,0.029541016,-0.530273438,-0.541503906, 
504898241,-5.598048687,6.976159573,-176.695343,-1.305543423,-0.52334094,8.644910812,-7.060385704,3.487160921,-1.395514965,0.031005859,-0.529785156,-0.552734375, 
