time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(meters),height_above_ground_at_drone_location(meters),ground_elevation_at_drone_location(meters),altitude_above_seaLevel(meters),height_sonar(meters),speed(m/s),distance(meters),mileage(meters),satellites,gpslevel,voltage(v),max_altitude(meters),max_ascent(meters),max_speed(m/s),max_distance(meters), xSpeed(m/s), ySpeed(m/s), zSpeed(m/s), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(c),altitude(meters),ascent(meters),flycStateRaw,flycState,message
100,2022-07-07 08:10:25,32.8256841215075,34.9559635814824,0,Available with any HD 360 subscription,Available with any HD 360 subscription,5.4942341,0.1,0.0276533,0,0,17,0,0,5.4942341,0,0.0276533,0,0,0,0,222.7, -1.3, 3.2,0,0,1024,1024,1024,1024,0,0,0,0,359.9222073,0.015958,97,4.263,4.264,4.262,4.264,0,0,0,38,5.4942341,0,41,Motors_Started,"Log filename: FLY457.DAT"
200,2022-07-07 08:10:25,32.8256841218699,34.9559635330617,0,,,5.4942341,0.1,0.0285262,0.00452505,0.00452505,17,0,0,5.4942341,0,0.0285262,0.00452505,0,0,0,222.5, -1.4, 3.2,0,0,1024,1024,1024,1024,0,0,0,0,359.9222286,0.0160209,97,4.263,4.264,4.262,4.264,0,0,0,38,5.4942341,0,41,Motors_Started,
300,2022-07-07 08:10:25,32.8256841219476,34.955963503318,0,,,5.4942341,0.1,0.0122188,0.00730456,0.00730459,17,0,0,5.4942341,0,0.0285262,0.00730456,0,0,0,222.4, -1.4, 3.2,0,0,1024,1024,1024,1024,0,0,0,0,359.9222203,0.0160712,97,4.263,4.264,4.262,4.264,0,0,0,38,5.4942341,0,41,Motors_Started,
400,2022-07-07 08:10:25,32.8256841232435,34.9559634927516,0,,,5.4942341,0.1,0.0110606,0.00829406,0.00830246,17,0,0,5.4942341,0,0.0285262,0.00829406,0,0,0,222.5, -1.4, 3.2,0,0,1024,1024,1024,1024,0,0,0,0,359.9222148,0.0161606,97,4.263,4.264,4.262,4.264,0,0,0,38,5.4942341,0,41,Motors_Started,
500,2022-07-07 08:10:25,32.8256841304868,34.9559634758522,0,,,5.4942341,0.1,0.0131478,0.00992143,0.0100753,17,0,0,5.4942341,0,0.0285262,0.00992143,0,0,0,222.4, -1.4, 3.2,0,0,1024,1024,1024,1024,0,0,0,0,359.9221225,0.016514,97,4.263,4.264,4.262,4.264,0,0,0,38,5.4942341,0,41,Motors_Started,
600,2022-07-07 08:10:25,32.8256841321307,34.9559634835054,0,,,5.4942341,0.1,0.00603327,0.00923177,0.0108134,17,0,0,5.4942341,0,0.0285262,0.00992143,0,0,0,222.4, -1.4, 3.2,0,0,1024,1024,1024,1024,0,0,0,0,359.9221258,0.0164888,97,4.263,4.264,4.262,4.264,0,0,0,38,5.4942341,0,41,Motors_Started,
700,2022-07-07 08:10:25,32.8256841332677,34.9559634929227,0,,,5.4942341,0.1,0.00361799,0.00837852,0.0117025,17,0,0,5.4942341,0,0.0285262,0.00992143,0,0,0,222.6, -1.4, 3.2,0,0,1024,1024,1024,1024,0,0,0,0,359.9219807,0.0158241,97,4.263,4.264,4.262,4.264,0,0,0,38,5.4942341,0,41,Motors_Started,
800,2022-07-07 08:10:26,32.8256841333097,34.9559635043862,0,,,5.4942341,0.1,0.00325658,0.00732314,0.0127738,17,0,0,5.4942341,0,0.0285262,0.00992143,0,0,0,222.5, -1.3, 3.2,0,0,1024,1024,1024,1024,0,0,0,0,359.9219765,0.015951,97,4.263,4.264,4.262,4.264,0,0,0,38,5.4942341,0,41,Motors_Started,
900,2022-07-07 08:10:26,32.8256841327686,34.9559634946428,0,,,5.4942341,0.1,0.00484461,0.00821114,0.0136863,17,0,0,5.4942341,0,0.0285262,0.00992143,0,0,0,222.5, -1.3, 3.2,0,0,1024,1024,1024,1024,0,0,0,0,359.9219242,0.016302,97,4.263,4.264,4.262,4.264,0,0,0,38,5.4942341,0,41,Motors_Started,
1000,2022-07-07 08:10:26,32.8256841301566,34.9559634554026,0,,,5.4942341,0.1,0.00395283,0.0118212,0.0173647,17,0,16.986,5.4942341,0,0.0285262,0.0118212,0,0,0,222.5, -1.3, 3.1,0,0,1024,1024,1024,1024,0,0,0,0,359.9219199,0.0163538,97,4.263,4.264,4.262,4.264,0,0,1.568,38,5.4942341,0,41,Motors_Started,
1100,2022-07-07 08:10:26,32.8256841247074,34.9559634269457,0,,,5.4942341,0.1,0.00748876,0.0144457,0.0200922,17,0,16.986,5.4942341,0,0.0285262,0.0144457,0,0,0,222.5, -1.3, 3.2,0,0,1024,1024,1024,1024,0,0,0,0,359.921828,0.0160507,97,4.263,4.264,4.262,4.264,0,0,1.568,38,5.4942341,0,41,Motors_Started,
1200,2022-07-07 08:10:26,32.8256841217449,34.9559634142333,0,,,5.4942341,0.1,0.0069823,0.0156293,0.021325,17,0,16.986,5.4942341,0,0.0285262,0.0156293,0,0,0,222.5, -1.3, 3.2,0,0,1024,1024,1024,1024,0,0,0,0,359.921828,0.016039,97,4.263,4.264,4.262,4.264,0,0,1.568,38,5.4942341,0,41,Motors_Started,
1300,2022-07-07 08:10:26,32.8256841167061,34.9559633455423,0,,,5.4942341,0.1,0.00989507,0.0220549,0.0277685,17,0,16.986,5.4942341,0,0.0285262,0.0220549,0,0,0,222.5, -1.3, 3.2,0,0,1024,1024,1024,1024,0,0,0,0,359.9214431,0.0173374,97,4.263,4.264,4.262,4.264,0,0,1.568,38,5.4942341,0,41,Motors_Started,
1400,2022-07-07 08:10:26,32.8256841120109,34.9559632972498,0,,,5.4942341,0.1,0.00813369,0.0265823,0.0323115,17,0,16.986,5.4942341,0,0.0285262,0.0265823,0,0,0,222.5, -1.3, 3.2,0,0,1024,1024,1024,1024,0,0,0,0,359.9214445,0.0173047,97,4.263,4.264,4.262,4.264,0,0,1.568,38,5.4942341,0,41,Motors_Started,
1500,2022-07-07 08:10:26,32.8256841077301,34.9559632684619,0,,,5.4942341,0.1,0.00657589,0.0292916,0.0350435,17,0,16.986,5.4942341,0,0.0285262,0.0292916,0,0,0,222.5, -1.3, 3.2,0,0,1024,1024,1024,1024,0,0,0,0,359.9213771,0.016491,97,4.263,4.264,4.262,4.264,0,0,1.568,38,5.4942341,0,41,Motors_Started,
1600,2022-07-07 08:10:26,32.8256841026607,34.9559632583949,0,,,5.4942341,0.1,0.00865194,0.0302649,0.0361402,17,0,16.986,5.4942341,0,0.0285262,0.0302649,0,0,0,222.5, -1.3, 3.2,0,0,1024,1024,1024,1024,0,0,0,0,359.9213791,0.0164741,97,4.263,4.264,4.262,4.264,0,0,1.568,38,5.4942341,0,10,Assisted_Takeoff,
1700,2022-07-07 08:10:26,32.8256840997975,34.955963258416,0,,,5.4942341,0.1,0.00750038,0.0302867,0.0364586,17,0,16.986,5.4942341,0,0.0285262,0.0302867,0,0,0,222.6, -1.4, 3.2,0,0,1024,1024,1024,1024,0,0,0,0,359.9215203,0.0160827,97,4.263,4.264,4.262,4.264,0,0,1.568,38,5.4942341,0,10,Assisted_Takeoff,
1800,2022-07-07 08:10:27,32.8256841099313,34.9559633284114,0,,,5.4942341,0.1,0.00587546,0.0236843,0.043096,17,0,16.986,5.4942341,0,0.0285262,0.0302867,0,0,0,222.6, -1.4, 3.2,0,0,1024,1024,1024,1024,0,0,0,0,359.9215159,0.0160868,97,4.263,4.264,4.262,4.264,0,0,1.568,38,5.4942341,0,10,Assisted_Takeoff,
1900,2022-07-07 08:10:27,32.8256841095894,34.9559633168821,0,,,5.4942341,0.1,0.00900652,0.0247622,0.0441741,17,0,16.986,5.4942341,0,0.0285262,0.0302867,0,0,0,222.6, -1.4, 3.2,0,0,1024,1024,1024,1024,0,0,0,0,359.9215402,0.0159924,97,4.263,4.264,4.262,4.264,0,0,1.568,38,5.4942341,0,10,Assisted_Takeoff,
2000,2022-07-07 08:10:27,32.8256841097099,34.9559632757401,0,,,5.4942341,0.1,0.00605662,0.0286015,0.0480188,17,0,16.926,5.4942341,0,0.0285262,0.0302867,0,0,0,222.6, -1.4, 3.2,0,0,1024,1024,1024,1024,0,0,0,0,359.9215399,0.0159506,97,4.233,4.236,4.237,4.24,0,0,4.436,38,5.4942341,0,10,Assisted_Takeoff,
2100,2022-07-07 08:10:27,32.8256841103148,34.9559632494343,0,,,5.4942341,0.1,0.00933431,0.0310546,0.050478,17,0,16.926,5.4942341,0,0.0285262,0.0310546,0,0,0,222.6, -1.4, 3.2,0,0,1024,1024,1024,1024,0,0,0,0,359.9214992,0.0166182,97,4.233,4.236,4.237,4.24,0,0,4.436,38,5.4942341,0,10,Assisted_Takeoff,
2200,2022-07-07 08:10:27,32.8256841199104,34.9559632143765,0,,,5.4942341,0.1,0.00943532,0.0343062,0.0539235,17,0,16.926,5.4942341,0,0.0285262,0.0343062,0,0,0,222.6, -1.4, 3.2,0,0,1024,1024,1024,1024,0,0,0,0,359.9215,0.0165898,97,4.233,4.236,4.237,4.24,0,0,4.436,38,5.4942341,0,10,Assisted_Takeoff,
2300,2022-07-07 08:10:27,32.8256841195579,34.9559632123256,0,,,5.4942341,0.1,0.00846322,0.0344981,0.0541191,17,0,16.926,5.4942341,0,0.0285262,0.0344981,0,0,0,222.6, -1.4, 3.2,0,0,1024,1024,1024,1024,0,0,0,0,359.9214467,0.0159855,97,4.233,4.236,4.237,4.24,0,0,4.436,38,5.4942341,0,10,Assisted_Takeoff,
2400,2022-07-07 08:10:27,32.8256841188316,34.9559632160932,0,,,5.4942341,0.1,0.00533698,0.0341466,0.0544804,17,0,16.926,5.4942341,0,0.0285262,0.0344981,0,0,0,222.6, -1.4, 3.2,0,0,1024,1024,1024,1024,0,0,0,0,359.9214489,0.0159867,97,4.233,4.236,4.237,4.24,0,0,4.436,38,5.4942341,0,10,Assisted_Takeoff,
2500,2022-07-07 08:10:27,32.8256841185446,34.9559632209439,0,,,5.4942341,0.1,0.00620534,0.0336936,0.0549348,17,0,16.926,5.4942341,0,0.0285262,0.0344981,0,0,0,222.6, -1.4, 3.2,0,0,1024,1024,1024,1024,0,0,0,0,359.9214062,0.0164932,97,4.233,4.236,4.237,4.24,0,0,4.436,38,5.4942341,0,10,Assisted_Takeoff,
2600,2022-07-07 08:10:27,32.8256841196674,34.9559632748992,0,,,5.4942341,0.1,0.00793125,0.0286507,0.0599784,17,0,16.926,5.4942341,0,0.0285262,0.0344981,0,0,0,222.6, -1.4, 3.2,0,0,1024,1024,1024,1024,0,0,0,0,359.9214111,0.0164572,97,4.233,4.236,4.237,4.24,0,0,4.436,38,5.4942341,0,10,Assisted_Takeoff,
2700,2022-07-07 08:10:27,32.8256841190465,34.9559632564312,0,,,5.4942341,0.1,0.00746488,0.030377,0.0617056,17,0,16.926,5.4942341,0,0.0285262,0.0344981,0,0,0,222.6, -1.4, 3.2,0,0,1024,1024,1024,1024,0,0,0,0,359.9214923,0.015823,97,4.233,4.236,4.237,4.24,0,0,4.436,38,5.4942341,0,10,Assisted_Takeoff,
2800,2022-07-07 08:10:28,32.8256841185763,34.9559632086467,0,,,5.4942341,0.1,0.00710568,0.0348427,0.0661713,17,0,16.926,5.4942341,0,0.0285262,0.0348427,0,0,0,222.6, -1.4, 3.2,0,0,1024,1024,1024,1024,0,0,0,0,359.9214926,0.0158075,97,4.233,4.236,4.237,4.24,0,0,4.436,38,5.4942341,0,10,Assisted_Takeoff,
2900,2022-07-07 08:10:28,32.8256841187994,34.9559631776509,0,,,5.4942341,0.1,0.00593201,0.0377389,0.0690679,17,0,16.926,5.4942341,0,0.0285262,0.0377389,0,0,0,222.6, -1.4, 3.2,0,0,1024,1024,1024,1024,0,0,0,0,359.9214808,0.0159299,97,4.233,4.236,4.237,4.24,0,0,4.436,38,5.4942341,0,10,Assisted_Takeoff,
3000,2022-07-07 08:10:28,32.8256841293249,34.9559631128377,0,,,5.4942341,0.1,0.00716234,0.0438031,0.0752367,17,0,16.924,5.4942341,0,0.0285262,0.0438031,0,0,0,222.6, -1.4, 3.2,0,0,1024,1024,1024,1024,0,0,0,0,359.9214784,0.0159111,97,4.254,4.256,4.253,4.254,0,0,2.534,38,5.4942341,0,10,Assisted_Takeoff,
3100,2022-07-07 08:10:28,32.8256841081413,34.9559631099954,0,,,5.4942341,0.1,0.00640755,0.0440851,0.0776074,17,0,16.924,5.4942341,0,0.0285262,0.0440851,0,0,0,222.6, -1.4, 3.2,0,0,1024,1024,1024,1024,0,0,0,0,359.9214744,0.0159476,97,4.254,4.256,4.253,4.254,0,0,2.534,38,5.4942341,0,10,Assisted_Takeoff,
3200,2022-07-07 08:10:28,32.8256840579066,34.9559631144418,0,,,5.4942341,0.1,0.00718487,0.0442139,0.0832093,17,0,16.924,5.4942341,0,0.0285262,0.0442139,0,0,0,222.6, -1.3, 3.2,0,0,1024,1024,1024,1024,0,0,0,0,359.921475,0.0159021,97,4.254,4.256,4.253,4.254,0,0,2.534,38,5.4942341,0,10,Assisted_Takeoff,
3300,2022-07-07 08:10:28,32.8256840274034,34.9559631241503,0,,,5.4942341,0.1,0.0171754,0.0439999,0.0867206,17,0,16.924,5.4942341,0,0.0285262,0.0442139,0,0,0,222.6, -1.3, 3.2,0,0,1024,1024,1024,1024,0,0,0,0,359.9213672,0.0170253,97,4.254,4.256,4.253,4.254,0,0,2.534,38,5.4942341,0,10,Assisted_Takeoff,
3400,2022-07-07 08:10:28,32.8256840291801,34.9559631503237,0,,,5.4942341,0.1,0.032727,0.041579,0.0891745,17,0,16.924,5.4942341,0,0.032727,0.0442139,0,0,0,222.7, -0.9, 3.2,0,0,1024,1024,1024,1024,0,0,0,0,359.9213717,0.0170017,97,4.254,4.256,4.253,4.254,0,0,2.534,38,5.4942341,0,10,Assisted_Takeoff,
3500,2022-07-07 08:10:28,32.825683982403,34.9559632225066,0,,,5.4942341,0.1,0.0956564,0.0369409,0.0976927,17,0,16.924,5.4942341,0,0.0956564,0.0442139,0.1,0,-0.1,222.9, 0.1, 3.1,0,0,1024,1024,1024,1024,0,0,0,0,359.9210568,0.0153535,97,4.254,4.256,4.253,4.254,0,0,2.534,38,5.4942341,0,10,Assisted_Takeoff,
3600,2022-07-07 08:10:28,32.8256840776377,34.9559632581018,0,,,5.4942341,0.1,0.265554,0.0306109,0.108793,17,0,16.924,5.4942341,0,0.265554,0.0442139,0.1,0.1,-0.2,223.4, 2.5, 1.9,0,0,1024,1024,1024,1024,0,0,0,0,359.9210581,0.0153617,97,4.254,4.256,4.253,4.254,0,0,2.534,38,5.4942341,0,10,Assisted_Takeoff,
3700,2022-07-07 08:10:28,32.8256842261131,34.9559634043541,0,,,5.4942341,0.1,0.547242,0.0202313,0.130227,17,0,16.924,5.4942341,0,0.547242,0.0442139,0.2,0.2,-0.5,223.9, 4.3, 0,0,0,1024,1024,1024,1024,0,0,0,0,359.921029,0.0153743,97,4.254,4.256,4.253,4.254,0,0,2.534,38,5.4942341,0,10,Assisted_Takeoff,
3800,2022-07-07 08:10:29,32.8256844093814,34.9559636908179,0,,,5.4942341,0.1,0.948896,0.0336043,0.163873,17,0,16.924,5.4942341,0,0.948896,0.0442139,0.2,0.3,-0.9,223.9, 2.6, -0.5,0,0,1024,1024,1024,1024,0,0,0,0,359.9209923,0.0153813,97,4.254,4.256,4.253,4.254,0,0,2.534,38,5.4942341,0,6,P-GPS,
3900,2022-07-07 08:10:29,32.8256846431657,34.9559640102951,0,,,5.4942341,0.2,1.42027,0.0705062,0.203461,17,0,16.924,5.4942341,0,1.42027,0.0705062,0.2,0.3,-1.4,223.9, -1.1, -0.3,0,0,1024,1024,1024,1024,0,0,0,0,359.9210027,0.0152713,97,4.254,4.256,4.253,4.254,0,0,2.534,38,5.4942341,0,6,P-GPS,
4000,2022-07-07 08:10:29,32.8256848007625,34.9559643261168,0.1,,,5.5942341,0.3,1.91053,0.102704,0.237785,17,0,16.732,5.5942341,0.1,1.91053,0.102704,0.1,0.3,-1.9,223.8, -2.5, 0.1,0,0,1024,1024,1024,1024,0,0,0,0,359.9210259,0.0152027,97,4.212,4.211,4.203,4.2,0,0,6.992,38,5.5942341,0.1,6,P-GPS,
4100,2022-07-07 08:10:29,32.8256849070359,34.9559646119238,0.3,,,5.7942341,0.3,2.41663,0.130013,0.266992,17,0,16.732,5.7942341,0.3,2.41663,0.130013,0.1,0.3,-2.4,223.9, -3.2, 0.8,0,0,1024,1024,1024,1024,0,0,0,0,359.9211824,0.0148068,97,4.212,4.211,4.203,4.2,0,0,6.992,38,5.7942341,0.3,6,P-GPS,
4200,2022-07-07 08:10:29,32.8256849691155,34.9559648555926,0.5,,,5.9942341,0.6,2.96714,0.151859,0.290786,17,0,16.732,5.9942341,0.5,2.96714,0.151859,0.1,0.2,-3,223.8, -4.1, 1.8,0,0,1024,1024,1024,1024,0,0,0,0,359.921291,0.0147893,97,4.212,4.211,4.203,4.2,0,0,6.992,38,5.9942341,0.5,6,P-GPS,
4300,2022-07-07 08:10:29,32.8256850648077,34.9559648644652,0.7,,,6.1942341,0.8,3.50523,0.159307,0.30146,17,0,16.732,6.1942341,0.7,3.50523,0.159307,0.1,0.2,-3.5,223.8, -4.4, 3,0,0,1024,1024,1024,1024,0,0,0,0,359.9217665,0.0150114,97,4.212,4.211,4.203,4.2,0,0,6.992,38,6.1942341,0.7,6,P-GPS,
4400,2022-07-07 08:10:29,32.8256851656939,34.9559650086438,1,,,6.4942341,1.1,3.92605,0.176835,0.318992,17,0,16.732,6.4942341,1,3.92605,0.176835,0.1,0.2,-3.9,223.8, -3.8, 2.6,0,0,1024,1024,1024,1024,0,0,0,0,359.9216797,0.0149953,97,4.212,4.211,4.203,4.2,0,0,6.992,38,6.4942341,1,6,P-GPS,
4500,2022-07-07 08:10:29,32.8256852685192,34.9559651711372,1.4,,,6.8942341,0.1,4.29592,0.195801,0.338001,17,0,16.732,6.8942341,1.4,4.29592,0.195801,0.1,0.2,-4.3,223.8, -3.1, 0.7,0,0,1024,1024,1024,1024,0,0,0,0,359.9215052,0.0144556,97,4.212,4.211,4.203,4.2,0,0,6.992,38,6.8942341,1.4,6,P-GPS,
4600,2022-07-07 08:10:29,32.825685380011,34.955965393682,1.8,,,7.2942341,0.4,4.44033,0.219695,0.362213,17,0,16.732,7.2942341,1.8,4.44033,0.219695,0.1,0.2,-4.4,223.7, -3.2, 0.3,0,0,1024,1024,1024,1024,0,0,0,0,359.9215044,0.0145587,97,4.212,4.211,4.203,4.2,0,0,6.992,38,7.2942341,1.8,6,P-GPS,
4700,2022-07-07 08:10:29,32.8256855709245,34.955965750028,2.2,,,7.6942341,0.9,4.36975,0.258934,0.401706,17,0,16.732,7.6942341,2.2,4.44033,0.258934,0.1,0.3,-4.4,223.8, -3.4, 1.6,0,0,1024,1024,1024,1024,0,0,0,0,359.9212825,0.0131133,97,4.212,4.211,4.203,4.2,0,0,6.992,38,7.6942341,2.2,6,P-GPS,
4800,2022-07-07 08:10:30,32.8256856500945,34.9559660688681,2.7,,,8.1942341,1.3,4.09884,0.287969,0.432775,17,0,16.732,8.1942341,2.7,4.44033,0.287969,0.1,0.3,-4.1,223.9, -2.7, 2.5,0,0,1024,1024,1024,1024,0,0,0,0,359.9212824,0.0130824,97,4.212,4.211,4.203,4.2,0,0,6.992,38,8.1942341,2.7,6,P-GPS,
4900,2022-07-07 08:10:30,32.8256857676564,34.9559663726817,3.1,,,8.5942341,1.5,3.62157,0.318664,0.464031,17,0,16.732,8.5942341,3.1,4.44033,0.318664,0.1,0.3,-3.6,223.8, -3.9, 3.3,0,0,1024,1024,1024,1024,0,0,0,0,359.9212494,0.0134549,97,4.212,4.211,4.203,4.2,0,0,6.992,38,8.5942341,3.1,6,P-GPS,
5000,2022-07-07 08:10:30,32.8256859285886,34.9559666831183,3.5,,,8.9942341,0.2,3.06813,0.352696,0.498117,17,0,16.969,8.9942341,3.5,4.44033,0.352696,0.2,0.3,-3,223.7, -5.4, 3.5,0,0,1024,1024,1024,1024,0,0,0,0,359.9212545,0.0134186,97,4.212,4.211,4.203,4.2,0,0,6.992,38,8.9942341,3.5,6,P-GPS,
5100,2022-07-07 08:10:30,32.8256860667222,34.9559670037532,3.8,,,9.2942341,0.4,2.48734,0.386098,0.531789,17,0,16.969,9.2942341,3.8,4.44033,0.386098,0.2,0.3,-2.5,223.5, -6.3, 2.9,0,0,1024,1024,1024,1024,0,0,0,0,359.9212217,0.0137949,97,4.212,4.211,4.203,4.2,0,0,6.992,38,9.2942341,3.8,6,P-GPS,
5200,2022-07-07 08:10:30,32.8256861784639,34.9559674298439,4.1,,,9.5942341,0.7,1.84425,0.426211,0.5735,17,0,16.969,9.5942341,4.1,4.44033,0.426211,0.2,0.3,-1.8,223.5, -6.5, 2.8,0,0,1024,1024,1024,1024,0,0,0,0,359.9212122,0.0138389,97,4.212,4.211,4.203,4.2,0,0,6.992,38,9.5942341,4.1,6,P-GPS,
5300,2022-07-07 08:10:30,32.8256862742783,34.9559678153171,4.4,,,9.8942341,0.9,1.22459,0.46244,0.611065,17,0,16.969,9.8942341,4.4,4.44033,0.46244,0.2,0.3,-1.2,223.5, -7.4, 2.9,0,0,1024,1024,1024,1024,0,0,0,0,359.9211273,0.0140651,97,4.212,4.211,4.203,4.2,0,0,6.992,38,9.8942341,4.4,6,P-GPS,
5400,2022-07-07 08:10:30,32.825686371745,34.9559682296792,4.6,,,10.0942341,1,0.780634,0.501296,0.651276,17,0,16.969,10.0942341,4.6,4.44033,0.501296,0.2,0.3,-0.7,223.5, -8, 2.7,0,0,1024,1024,1024,1024,0,0,0,0,359.9211227,0.0141069,97,4.212,4.211,4.203,4.2,0,0,6.992,38,10.0942341,4.6,6,P-GPS,
5500,2022-07-07 08:10:30,32.8256864628397,34.9559685756446,4.7,,,10.1942341,0.1,0.487524,0.534417,0.685156,17,0,16.969,10.1942341,4.7,4.44033,0.534417,0.1,0.3,-0.4,223.6, -7.5, 2.5,0,0,1024,1024,1024,1024,0,0,0,0,359.9210804,0.0143539,97,4.212,4.211,4.203,4.2,0,0,6.992,38,10.1942341,4.7,6,P-GPS,
5600,2022-07-07 08:10:30,32.825686519786,34.9559689270268,4.7,,,10.1942341,0.1,0.352294,0.566275,0.718597,17,0,16.969,10.1942341,4.7,4.44033,0.566275,0.1,0.2,-0.2,225.3, -7.5, 2.4,0,0,1024,1024,1024,1024,0,0,0,0,359.9210893,0.0143574,97,4.212,4.211,4.203,4.2,0,0,6.992,38,10.1942341,4.7,6,P-GPS,
5700,2022-07-07 08:10:30,32.8256866460643,34.9559691343325,4.8,,,10.2942341,0.1,0.257908,0.589987,0.742524,17,0,16.969,10.2942341,4.8,4.44033,0.589987,0.1,0.2,-0.1,230.6, -7.4, 2.1,0,0,1024,1024,1024,1024,0,0,0,0,359.9210088,0.0147001,97,4.212,4.211,4.203,4.2,0,0,6.992,38,10.2942341,4.8,6,P-GPS,
5800,2022-07-07 08:10:31,32.8256868326095,34.9559692702091,4.8,,,10.2942341,0.1,0.193889,0.611148,0.766847,17,0,16.969,10.2942341,4.8,4.44033,0.611148,0.1,0.1,0,237.4, -7.2, 1.5,0,0,1024,1024,1024,1024,0,0,0,0,359.9210107,0.0146907,97,4.212,4.211,4.203,4.2,0,0,6.992,38,10.2942341,4.8,6,P-GPS,
5900,2022-07-07 08:10:31,32.8256869847906,34.9559693512256,4.8,,,10.2942341,0.1,0.160876,0.626179,0.785386,17,0,16.969,10.2942341,4.8,4.44033,0.626179,0.1,0.1,0,243.5, -7.3, 0.2,0,0,1024,1024,1024,1024,0,0,0,0,359.921065,0.0148245,97,4.212,4.211,4.203,4.2,0,0,6.992,38,10.2942341,4.8,6,P-GPS,
6000,2022-07-07 08:10:31,32.8256871993495,34.9559692961153,4.8,,,10.2942341,0.1,0.13315,0.634301,0.809796,17,0,15.968,10.2942341,4.8,4.44033,0.634301,0.1,0.1,0,246.4, -7.3, -0.3,0,0,1024,1024,1024,1024,0,0,0,0,359.921085,0.0151183,97,4.117,4.133,4.139,4.147,0,0,27.05,38,10.2942341,4.8,6,P-GPS,
6100,2022-07-07 08:10:31,32.8256872726765,34.9559692863798,4.8,,,10.2942341,0.1,0.130109,0.637977,0.818001,17,0,15.968,10.2942341,4.8,4.44033,0.637977,0.1,0,0.1,246.8, -7.2, -0.9,0,0,1024,1024,1024,1024,0,0,0,0,359.9210201,0.0149995,97,4.117,4.133,4.139,4.147,0,0,27.05,38,10.2942341,4.8,6,P-GPS,
6200,2022-07-07 08:10:31,32.8256873034234,34.9559692283047,4.8,,,10.2942341,0.1,0.0859549,0.635347,0.824415,17,0,15.968,10.2942341,4.8,4.44033,0.637977,0.1,0,0,246.7, -7, -1.6,0,0,1024,1024,1024,1024,0,0,0,0,359.9210232,0.0151295,97,4.117,4.133,4.139,4.147,0,0,27.05,38,10.2942341,4.8,6,P-GPS,
6300,2022-07-07 08:10:31,32.8256873268701,34.9559691376662,4.8,,,10.2942341,0.1,0.0620384,0.629802,0.833278,17,0,15.968,10.2942341,4.8,4.44033,0.637977,0.1,0,0,246.6, -6.3, -2.2,0,0,1024,1024,1024,1024,0,0,0,0,359.9210083,0.0152811,97,4.117,4.133,4.139,4.147,0,0,27.05,38,10.2942341,4.8,6,P-GPS,
6400,2022-07-07 08:10:31,32.8256871995217,34.9559689452495,4.8,,,10.2942341,0.1,0.0539414,0.606965,0.856166,17,0,15.968,10.2942341,4.8,4.44033,0.637977,0,-0.1,0,246.6, -6.2, -2.2,0,0,1024,1024,1024,1024,0,0,0,0,359.9210087,0.0154026,97,4.117,4.133,4.139,4.147,0,0,27.05,38,10.2942341,4.8,6,P-GPS,
6500,2022-07-07 08:10:31,32.8256872236614,34.9559688029269,4.8,,,10.2942341,0.1,0.0835037,0.597574,0.869734,17,0,15.968,10.2942341,4.8,4.44033,0.637977,0,-0.1,0,246.8, -6.1, -2.1,0,0,1024,1024,1024,1024,0,0,0,0,359.9210025,0.0157411,97,4.117,4.133,4.139,4.147,0,0,27.05,38,10.2942341,4.8,6,P-GPS,
6600,2022-07-07 08:10:31,32.8256872665007,34.9559686165754,4.7,,,10.1942341,0.1,0.129379,0.586271,0.887789,17,0,15.968,10.2942341,4.8,4.44033,0.637977,0,-0.1,0,246.8, -6.1, -1.1,0,0,1024,1024,1024,1024,0,0,0,0,359.9210263,0.0157008,97,4.117,4.133,4.139,4.147,0,0,27.05,38,10.1942341,4.7,6,P-GPS,
6700,2022-07-07 08:10:31,32.8256873308427,34.9559683900586,4.7,,,10.1942341,0.1,0.170109,0.573845,0.910133,17,0,15.968,10.2942341,4.8,4.44033,0.637977,0,-0.2,0,246.8, -6.1, -1,0,0,1024,1024,1024,1024,0,0,0,0,359.9210048,0.0156274,97,4.117,4.133,4.139,4.147,0,0,27.05,38,10.1942341,4.7,6,P-GPS,
6800,2022-07-07 08:10:32,32.8256874129391,34.9559681158272,4.7,,,10.1942341,0.1,0.194137,0.559932,0.937337,17,0,15.968,10.2942341,4.8,4.44033,0.637977,0.1,-0.2,0,246.8, -5, -1.7,0,0,1024,1024,1024,1024,0,0,0,0,359.9210256,0.0158659,97,4.117,4.133,4.139,4.147,0,0,27.05,38,10.1942341,4.7,6,P-GPS,
