SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
677541335,-1.914792061,7.541302681,-141.8174133,0,0,0,0,0,0, 
677549668,-1.986968398,7.509632587,-141.8416748,-1.19230783,-0.004167362,9.930780411,-9.73908329,-3.779009342,-3.666177988, 
677558001,-2.046533108,7.521552086,-141.8288422,-0.380281895,-0.587637544,9.990448952,-8.878983498,1.328072548,1.103256345, 
677566334,-2.095824242,7.486022472,-141.8373108,-1.346011281,0.432159305,7.233569145,-7.243718624,-4.302896976,-1.796211123, 
677574667,-2.18404007,7.477214813,-141.8339539,-1.743356586,-0.419782817,9.98072052,-12.16818237,-1.118227839,-0.113919295, 
677583000,-2.262682199,7.501802444,-141.8526154,-2.401441574,-0.670439422,11.8723259,-10.60886669,2.954064369,-2.731310368, 
677591333,-2.30910182,7.483345509,-141.8403168,-0.709759057,0.518094838,8.149784088,-7.294001102,-2.317871094,0.903695941, 
677599666,-2.368513584,7.507029533,-141.8630371,-1.457078457,0.592172027,8.669998169,-8.231506348,2.872636795,-3.269158125, 
677607999,-2.426958799,7.521734715,-141.8515015,-1.351249576,-0.918162942,9.173887253,-8.723812103,1.657958269,0.970702767, 
677616332,-2.49714613,7.493749619,-141.8692322,-1.144064903,-0.070278294,9.732978821,-9.601408005,-3.341160059,-2.949979067, 
677624665,-2.53420639,7.531532764,-141.8598328,-2.230102301,-0.815505028,13.50623322,-6.125376225,4.43338871,0.84306699, 
677632998,-2.567013979,7.560851097,-141.8755035,-2.037264824,1.338380575,6.501921654,-5.144657135,3.520932674,-2.421428919, 
677641331,-2.630248547,7.590746403,-141.8726044,0.597420454,-0.416690648,7.29954052,-9.164196014,3.520958185,0.0343743, 
677649664,-2.660421848,7.606194496,-141.8758698,-2.556038857,-0.401967525,13.41389942,-5.029393196,1.793534279,-0.991668046, 
677657997,-2.685142756,7.618029594,-141.8761292,-1.075233221,-0.134736121,7.932472229,-4.493262291,1.372897506,-0.43663308, 
677666330,-2.741184711,7.671638012,-141.8928528,-1.279660583,0.204165801,8.110735893,-7.928055286,6.439599037,-2.307830095, 
677674663,-2.772249937,7.694831371,-141.8820496,-1.894327044,-0.553755343,11.24373913,-5.431537628,2.671257496,0.945498407, 
677682996,-2.785853624,7.699307919,-141.8948212,-0.514175832,0.90058887,9.493947029,-2.890860558,0.533006549,-2.177606583, 
677691329,-2.778156757,7.734436989,-141.91185,-1.108272314,-0.475530624,9.176915169,-0.331435382,4.260799885,-2.29100132, 
677699662,-2.788536549,7.718698502,-141.903595,-2.020387173,0.846876085,8.460024834,-2.843961239,-2.009654522,0.197203979, 
677707995,-2.807214499,7.742957115,-141.9294434,-0.512831509,-0.702733576,10.99006367,-3.353812933,3.009647131,-3.399918556, 
677716328,-2.766666651,7.755321503,-141.9255676,-1.949090004,-0.006830889,10.09836578,3.334640741,1.38411665,-0.147217825, 
677724661,-2.751075029,7.758163452,-141.9280243,0.019405939,-0.174271658,6.815736771,0.380627543,0.307524532,-0.746488512, 
677732994,-2.75799489,7.764360905,-141.9281006,-2.526391745,0.165397882,11.75463104,-2.297251225,0.668224216,-0.662192047, 
677741327,-2.710232735,7.773582458,-141.945282,-2.043221712,0.081919186,10.58925152,4.480467796,1.15474093,-2.458800316, 
677749660,-2.678035736,7.783021927,-141.9334869,0.105793379,0.189941585,4.842676163,2.20151782,0.989682913,0.758770525, 
677757993,-2.664770603,7.814744949,-141.9501038,-1.968967438,0.010044259,11.62377357,0.332472771,3.846156836,-2.2660532, 
677766326,-2.627896547,7.816123486,-141.9359436,-1.765039086,-0.670154393,11.41220665,2.722665071,0.012755889,0.981768012, 
677774659,-2.601076603,7.833569527,-141.9461365,-0.712430537,-0.18751739,8.072278976,1.855879545,2.097908497,-1.585610867, 
677782992,-2.550982475,7.850285053,-141.9334259,-2.28634119,0.786652923,9.517307281,4.329061985,1.860054612,0.917194605, 
677791325,-2.505612135,7.870738029,-141.9398956,-0.996062517,0.262060046,9.679884911,4.02115345,2.438705683,-1.133186698, 
677799658,-2.452605724,7.896410942,-141.9313812,-0.676617146,-1.057721615,9.996742249,4.744909286,2.955626726,0.454908848, 
677807991,-2.371785879,7.888869286,-141.9339294,-1.83939755,0.089474387,8.817296028,8.210565567,-0.939004898,-0.812829316, 
677816324,-2.340649843,7.913013935,-141.9216156,-1.773607016,0.044731375,8.273492813,2.055824518,2.757167578,0.905181527, 
677824657,-2.292143106,7.943504333,-141.9327698,-1.415743947,0.108291738,10.59457016,4.476138592,3.661606312,-1.649082899, 
677832990,-2.202628613,7.937420845,-141.9108582,-0.424760997,-0.666958451,8.617432594,8.895902634,-0.910855174,1.913127422, 
677841323,-2.156323671,7.976348877,-141.9099426,-2.01184535,0.135277137,9.056349754,4.012214661,4.615326405,-0.184256017, 
