time(millisecond),latitude,longitude,altitude_above_seaLevel(meters),North,East,Down, xSpeed(m/s), ySpeed(m/s), zSpeed(m/s), roll(degrees), pitch(degrees), compass_heading(degrees)
253100,32.8256345068359,34.9558580188285,12.4942341,0.0,0.0,0.0,-1.9,-4.4,0.0,-4.4,-20.7,248.7
253200,32.8256325842233,34.9558531618894,12.5942341,-0.21322039485469801,-0.4547885495306456,-0.09999909190481038,-2.0,-4.6,0.0,-2.4,-22.2,248.7
253300,32.8256307112391,34.9558481520171,12.4942341,-0.4209367050945829,-0.9238969637820968,1.875158298858537e-06,-2.0,-4.7,0.0,-0.7,-21.7,248.6
253400,32.8256289317341,34.9558432539417,12.4942341,-0.6182861042668479,-1.3825372441468726,2.855190913919614e-06,-2.0,-4.8,0.0,-1.3,-20.8,248.7
253500,32.8256270625019,34.9558379729979,12.4942341,-0.8255863287228582,-1.8770281249490761,3.949495792632263e-06,-2.0,-4.9,0.0,-2.6,-20.8,248.7
253600,32.8256252301767,34.9558327659873,12.4942341,-1.0287934910338778,-2.3645961511761975,5.072761481095256e-06,-2.1,-5.0,0.0,-3.0,-20.8,248.8
253700,32.8256231988947,34.9558268760324,12.4942341,-1.2540651708466681,-2.91611294609039,6.389879059653936e-06,-2.1,-5.1,0.0,-2.8,-21.1,248.9
253800,32.8256212728689,34.955821433296,12.4942341,-1.4676637958006298,-3.4257536389334042,7.663520237066734e-06,-2.2,-5.2,0.0,-3.1,-21.1,248.8
253900,32.8256192307024,34.955815678362,12.4942341,-1.6941425414781062,-3.9646275569487432,9.061748212246812e-06,-2.2,-5.3,-0.1,-2.5,-19.7,248.7
254000,32.8256172910888,34.9558101897792,12.4942341,-1.9092480174556083,-4.478561209152726,1.0444233906170552e-05,-2.2,-5.4,0.0,-2.3,-19.3,248.5
254100,32.8256153387994,34.9558045928453,12.4942341,-2.1257592145112563,-5.0026405361835575,1.190138883977454e-05,-2.2,-5.4,0.0,-2.0,-21.1,248.6
254200,32.8256134043513,34.9557989397989,12.4942341,-2.34029174924264,-5.531974077339875,1.3417968906637157e-05,-2.2,-5.5,0.0,-2.3,-20.5,248.7
254300,32.825611342676,34.9557928007017,12.4942341,-2.568933878989564,-6.106819911990275,1.5118057165253163e-05,-2.2,-5.6,-0.1,-3.2,-19.6,248.7
254400,32.8256093960797,34.9557869823862,12.4942341,-2.7848135825138405,-6.651628775117443,1.6784353324084123e-05,-2.2,-5.6,0.0,-3.4,-20.1,248.8
254500,32.8256073214485,34.955780903612,12.4942341,-3.0148924848210195,-7.220826209827303,1.8588380792827763e-05,-2.2,-5.6,0.0,-4.2,-20.8,248.9
254600,32.8256053457812,34.9557749615919,12.4942341,-3.2339961274687328,-7.777218433089919,2.0401142709403075e-05,-2.2,-5.7,0.0,-4.3,-20.2,249.0
254700,32.8256032312336,34.955768526976,12.4942341,-3.4685016958113435,-8.379735811976877,2.2423291291318037e-05,-2.2,-5.8,0.0,-4.4,-20.5,249.1
254800,32.8256012220073,34.9557623431743,12.4942341,-3.691326975002055,-8.95876775380856,2.442418675574487e-05,-2.3,-5.9,0.0,-5.0,-20.9,249.2
254900,32.825599044947,34.9557554265448,12.4942341,-3.9327651404664694,-9.606419426028983,2.6721524821304854e-05,-2.3,-6.0,0.0,-5.2,-20.4,249.3
255000,32.8255970458301,34.9557492387059,12.4942341,-4.154469198414714,-10.185829449994605,2.8850389619528016e-05,-2.3,-6.0,0.0,-5.6,-20.0,249.3
255100,32.8255949461209,34.9557428183628,12.4942341,-4.387329020733431,-10.78701047941322,3.112734282684215e-05,-2.4,-6.0,0.0,-6.1,-20.5,249.2
255200,32.8255929016877,34.9557366437569,12.4942341,-4.614058662128641,-11.365181472278296,3.338223669935303e-05,-2.4,-6.1,0.0,-5.4,-20.9,249.1
